# 181 entries matching 'jackie' in docs/mounring_scenes/localization_base/localization/en-us/onscreens/onscreens.json.json

Story-base-journal-contacts-panam-Q114_rom_07_ch_01_kind_text	78587	Oh, man... Jackie would've loved you. And vice versa, I think. He was the kind of guy who'd never leave you hanging, never try to rip you off, never let you get hurt... He had this amazing laugh and these god-awful jokes, and he'd often let himself get carried away by some pipe dream... Sometimes it pissed me off, but now I just miss him so goddamn much... Jackie was the best friend I ever had. He was like family to me.
Story-base-journal-contacts-panam-Q114_rom_07_ch_02_top_text	78588	The thing you have to know about Jackie is that Jackie dreamt big, and his dreams infected everyone around him. OK, granted, if a streetpunk gave him one wrong look, they'd get the beatdown of the century, but he also had this strange kind of warmth, an energy that just made him glow. When you were next to him, you felt unstoppable, that everything would work out, because shit was just meant to be... When Jackie was there, I felt indestructible. Can't say I feel the same way now...
Story-base-journal-contacts-panam-Q114_rom_08_top_answer_text	78590	No shortage of big dreamers in Night City, is there? I'm guessing more than once you two hatched plans to bring NC to its knees over some cold brews? ;) This just gets me thinking... maybe if I met you earlier, my life would have turned out differently. I tried going up against that city, completely alone, with no one at my side to give a damn about what I wanted or why. Shit, I didn't even know what I wanted... That's why it's good to have people like Jackie around. I'm glad you told me about him :)
Story-base-journal-contacts-panam-Q114_rom_09_ch_01_jackie_story_text	78591	I just remembered this one time with Jackie when he swore that if he wanted to, he could become a master sushi chef (because I said using chopsticks was probably his life's greatest achievement). Know what he did? He walked up to this joint in Kabuki and asked for a job – said his futomaki was second to none. They hired him on the spot. Course, three days later they fired him because he kept eating whatever he tried to make. But that's Jackie for ya – one look at him and you knew he was true to his word. You trusted him and gave him a chance :)
Story-base-journal-quests-main_quest-act_01-q113_corpo-00c3_talk_jackie_Mp_mappin	38482	Jackie
Story-base-journal-quests-main_quest-prologue-q000_corpo-02_meet_jackie_Jackie_mappin	38977	Jackie
Story-base-journal-quests-main_quest-prologue-q000_corpo-04_talk_with_Jackie_Jackie_mappin	38972	Jackie
Story-base-journal-quests-main_quest-prologue-q000_corpo-08_talk_to_jackie_Jackie_mappin	38976	Jackie
Story-base-journal-quests-main_quest-prologue-q000_nomad-01_talk_to_jackie_Jackie_mappin	39015	Jackie
Story-base-journal-quests-main_quest-prologue-q000_nomad-02b_look_for_jackie_Jackie_mappin	38998	Jackie
Story-base-journal-quests-main_quest-prologue-q000_nomad-03_talk_to_jackie_Jackie_mappin	38992	Jackie
Story-base-journal-quests-main_quest-prologue-q000_nomad-04_follow_jackie_Jackie_mappin	38993	Jackie
Story-base-journal-quests-main_quest-prologue-q000_nomad-05_talk_to_jackie_Jackie_mappin	38996	Jackie
Story-base-journal-quests-main_quest-prologue-q000_nomad-08b_talk_to_jackie_Jackie_mappin	38995	Jackie
Story-base-journal-quests-main_quest-prologue-q001_01_victor-Go_to_jackie_Jackie_mappin	39081	Jackie
Story-base-journal-quests-main_quest-prologue-q001_01_victor-Talk_jackie_person_Jackie_mappin	39086	Jackie
Story-base-journal-quests-main_quest-prologue-q001_01_victor-Talk_to_viktor_Ripperdoc_mappin	39096	Jackie
Story-base-journal-quests-main_quest-prologue-q001_02_dex-Ask_jackie_Jackie_mappin	39098	Jackie
Story-base-journal-quests-main_quest-prologue-q001_intro-00_wait_for_jackie_Jackie_mp_mappin	39164	Jackie
Story-base-journal-quests-main_quest-prologue-q001_intro-01_select_garage_Elevator_mp_mappin	39158	Jackie
Story-base-journal-quests-main_quest-prologue-q001_intro-01_talk_to_jackie_Jackie_mappin	39167	Jackie
Story-base-journal-quests-main_quest-prologue-q001_intro-01_talk_to_jackie_contactName	39166	Talk to Jackie.
Story-base-journal-quests-main_quest-prologue-q001_intro-02_follow_jackie_Jackie_mappin	39169	Jackie
Story-base-journal-quests-main_quest-prologue-q001_intro-02_follow_jackie_contactName	39168	Follow Jackie.
Story-base-journal-quests-main_quest-prologue-q001_intro-03_enter_the_elevator_contactName	39170	Enter the elevator with Jackie.
Story-base-journal-quests-main_quest-prologue-q001_intro-Back_to_jackie_Jackie_mappin	39135	Jackie
Story-base-journal-quests-main_quest-prologue-q001_intro-Follow_jackie_Jackie_mappin	39151	Jackie
Story-base-journal-quests-main_quest-prologue-q001_intro-Meet_jackie_Jackie_mp_mappin	39100	Jackie
Story-base-journal-quests-main_quest-prologue-q001_intro-Talk_jackie_Jackie_mappin	39146	Jackie
Story-base-journal-quests-main_quest-prologue-q001_intro-What_next_jackie_Jackie_mp_mappin	39137	Jackie
Story-base-journal-quests-main_quest-prologue-q003_maelstrom-01_meet_jackie_Jackie_mappin	39180	Jackie
Story-base-journal-quests-main_quest-prologue-q003_maelstrom-02_talk_to_jackie_Jackie_mappin	39176	Jackie
Story-base-journal-quests-main_quest-prologue-q003_maelstrom-02_talk_to_jackie_Jackie_mappin0	39206	Jackie
Story-base-journal-quests-main_quest-prologue-q003_maelstrom-03_follow_jackie_Jackie_mappin	39209	Jackie
Story-base-journal-quests-main_quest-prologue-q003_maelstrom-06_go_with_jackie_Jackie_mappin	39179	Jackie
Story-base-journal-quests-main_quest-prologue-q003_maelstrom-07b_wait_for_jackie_elevator_Jackie_mappin	39205	Jackie
Story-base-journal-quests-main_quest-prologue-q003_maelstrom-09_talk_to_jackie_Jackie_mappin	39223	Jackie
Story-base-journal-quests-main_quest-prologue-q003_maelstrom-13_talk_to_jackie_Jackie_mappin	39190	Jackie
Story-base-journal-quests-main_quest-prologue-q005_heist-01_follow_jackie_Jackie_mappin	39295	Jackie
Story-base-journal-quests-main_quest-prologue-q005_heist-01_talk_to_jackie_Jackie_mappin	39331	Jackie
Story-base-journal-quests-main_quest-prologue-q005_heist-03_talk_to_jackie_Jackie_mappin	39299	Jackie
Story-base-journal-quests-main_quest-prologue-q005_heist-17_wait_jackie_in_elevator_contactName	39325	Wait for Jackie in the elevator.
Story-base-journal-quests-main_quest-prologue-q005_heist-Follow_jackie_Jackie_mappin	39281	Jackie
Story-base-journal-quests-main_quest-prologue-q005_heist-Follow_jackie_Jackie_mappin0	39349	Jackie
Story-base-journal-quests-main_quest-prologue-q005_heist-Follow_jackie_Jackie_mappin1	39355	Jackie
Story-base-journal-quests-main_quest-prologue-q005_heist-Join_jackie_Mappin_jackie_mappin	39344	Jackie
Story-base-journal-quests-main_quest-prologue-q005_heist-Participate_briefing_Mappin_jackie_mappin	39341	Jackie
Story-base-journal-quests-main_quest-prologue-q005_heist-Take_control_chip_Jackie_mappin	39275	Jackie
Story-base-journal-quests-main_quest-prologue-q005_heist-Talk_jackie_Jackie_mappin	39288	Jackie
Story-base-journal-quests-main_quest-prologue-q005_heist-Talk_jackie_Jackie_mappin0	39339	Jackie
Story-base-journal-quests-main_quest-prologue-q005_heist-Wait_for_dex_Jackie_mappin	39347	Jackie
Story-base-journal-quests-side_quest-sq018_jackie-01_go_to_jackies_storage_sq018_dvc_gate_storage_code_mappin	37233	Jackie's Garage
Story-base-journal-quests-side_quest-sq018_jackie-03_take_keycard_Sq018_keycard_storage_mappin	37231	Jackie's Key
Story-base-journal-quests-side_quest-sq018_jackie-05_explore_storage_Sq018_tr_explore_mappin	37235	Jackie's Garage
Story-base-journal-quests-street_stories-heywood-glen-sts_hey_gle_04-Have_a_drink_description	36333	Drink to Jackie with the bouncer.
Story-base-quest-character_vehicles-jackie_bike_displayName	46583	Jackie's ARCH
Story-base-quest-cyberpunk2077_metajournal-_text11	49494	Legend\n\nNight City craved another legend and it got one. Who isn't tired of hearing about the great Morgan Blackhand? Well now there's a new name on everybody's lips. Wonder what Jackie would have to say about that... or Johnny.
Story-base-quest-cyberpunk2077_metajournal-_text2	49485	Game On\n\nLooks like Dex DeShawn's tossed the ball in our court... but scoring a pro fixer is only half the battle. In this biz it's either go big or go home and this is our one chance to shine. With Jackie at your side, what could go wrong?
Story-base-quest-cyberpunk2077_metajournal-_text8	49491	Reputation\n\nBy now fixers in Night City know who to count on. Higher street cred means sweeter gigs, but not everyone'll be toasting to your success. Fame brings with it enemies, but as Jackie would've said: "Ain't got time for no Tarot mumbo jumbo shit! Vamos!" And he would've been damn right.
Story-base-quest-main_quests-part1-q113-scenes-q113_07_mikoshi-q113_07_ch_chineseroom_displayNameOverride	45958	Jackie
Story-base-quest-main_quests-part1-q113-test-q113_chicken_test-q113_chicken_ch_01_displayNameOverride	45965	Did V learn that Jackie was soulkilled?
Story-base-quest-main_quests-prologue-q000-scenes-q000_corpo_01_security_gate-q000_corpo_ch_boutworkwork_displayNameOverride	45524	Jackie
Story-base-quest-main_quests-prologue-q000-scenes-q000_corpo_04_lizzies_club-_localizedDisplayNameOverride0	49039	Jackie
Story-base-quest-main_quests-prologue-q001-scenes-q001_00aa_jackie_hide_body_tutorial-It's_MessageNode	48277	It's not necessary to hide bodies in a disposal device. Often it's enough to just put it out of enemy sight.\nPick up the body and drop it in the  corner of the room next to Jackie to avoid detection.
Story-base-quest-main_quests-prologue-q001-scenes-q001_00f_ride_with_jackie-_localizedDisplayNameOverride	48348	Jackie
Story-base-quest-secondary_characters-jackie_displayName	47007	Jackie
Story-base-quest-side_quests-sq018-entities-sq018_keycard_door_displayName	46700	Jackie's Key
Story-base-quest-side_quests-sq018-entities-sq018_keycard_storage_displayName	46701	Jackie's Key
Story-base-quest-side_quests-sq018-entities-sq018_photo_jackie_displayName	46707	Jackie's Photo
UI-Credits-JACKIE_WELLES	41510	JACKIE WELLES
<empty>	6810	Call Jackie.
<empty>	8057	Jackie, my man!\nYou won't believe your luck – a collector's selling a beauty in preem condition. Price is good, if a 'lil over your budget.\nLemme know if you're interested, cuz if you aren't, it'll go to someone else.\nPeace,\nSid
<empty>	8059	Jackie Welles
<empty>	8063	Jackie Welles
<empty>	8067	Jackie Welles
<empty>	9122	Talk to Jackie.
<empty>	9471	Talk to Jackie.
<empty>	9483	Talk to Jackie.
<empty>	9492	Meet with Jackie.
<empty>	9493	Sit with Jackie.
<empty>	9494	Talk to Jackie.
<empty>	9495	Have a drink with Jackie.
<empty>	9498	Talk to Jackie.
<empty>	9517	Meet Jackie Welles.
<empty>	9518	Talk to Jackie.
<empty>	9519	Follow Jackie.
<empty>	9520	Talk to Jackie.
<empty>	9523	Talk to Jackie.
<empty>	9527	Talk to Jackie while waiting for the security check to finish.
<empty>	9539	Go to a safe location with Jackie.
<empty>	9541	Talk to Jackie.
<empty>	9563	Talk to Jackie.
<empty>	9565	Talk to Jackie.
<empty>	9569	Meet with Jackie.
<empty>	9571	Talk to Jackie.
<empty>	9572	Talk to Jackie.
<empty>	9579	Call Jackie.
<empty>	9580	Talk to Jackie.
<empty>	9581	Talk to Jackie.
<empty>	9587	Talk to Jackie.
<empty>	9598	Follow Jackie.
<empty>	9611	Meet with Jackie.
<empty>	9618	Talk to Jackie.
<empty>	9628	Talk to Jackie.
<empty>	9629	Wait for Jackie in the elevator.
<empty>	9633	Ride back with Jackie.
<empty>	9639	Call Jackie.
<empty>	9645	Wait for Jackie by All Foods.
<empty>	9646	Meet with Jackie.
<empty>	9647	Talk to Jackie.
<empty>	9652	Enter All Foods with Jackie.
<empty>	9654	Wait with Jackie in the elevator.
<empty>	9661	Talk to Jackie.
<empty>	9666	Enter the elevator with Jackie.
<empty>	9674	Talk to Jackie.
<empty>	9676	Wait for Jackie to move the Flathead case.
<empty>	9685	Talk to Jackie.
<empty>	9686	Follow Jackie.
<empty>	9742	Call Jackie.
<empty>	9749	Follow Jackie.
<empty>	9752	Sit next to Jackie.
<empty>	9755	Talk to Jackie.
<empty>	9756	Talk to Jackie.
<empty>	9764	Wait for Jackie.
<empty>	9778	Follow Jackie.
<empty>	9793	Talk to Jackie and T-Bug.
<empty>	9794	Wait for Jackie to take Flathead.
<empty>	9807	Follow Jackie.
<empty>	9813	Talk to T-Bug and Jackie.
<empty>	9816	Wait for Jackie to check the Relic.
<empty>	9826	Follow Jackie.
<empty>	9830	Talk to Jackie.
<empty>	9851	Talk to Jackie.
<empty>	10799	Jackie Welles
<empty>	11801	Take the keys to Jackie's garage.
<empty>	11802	Go to Jackie's garage.
<empty>	11804	Find the key to Jackie's room.
<empty>	11805	Open Jackie's room.
<empty>	11814	Leave an offering in Jackie's memory.
<empty>	11816	Raise a toast to Jackie.
<empty>	13326	My oh my, Jackie-boy... you've really outdone yourself this time. I spy with my little eye... a delicious bounty on your head and a lot of gonks who'd like a taste of it. I know, I know, the cooldown's tough, so let me spare you the endless wait with a little present. Take one puff – a day goes by. Two puffs – a whole week. It's like pressing the fast-forward button, except more fun. Don't worry about the money, you can pay me back when the dust settles. I have a few specimens I'd like to introduce you to... if you catch my drift. Get some rest, my dearest choom, and we'll play later.\nBM
<empty>	14016	I found something that belonged to Jackie... I think he would have wanted you to have it. It's waiting in front of your apartment.
<empty>	18498	Jackie Welles\nGood night, sweet prince.
<empty>	18509	Jackie Welles
<empty>	19159	I don't usually give advice, but... fuck it, here goes. Don't make the same mistake I made – say goodbye to the people you love. You know what I mean, right? Jackie Welles was your best choom, and you don't find a lot of straight-up peeps like that in NC. Best thing you can do is remember them. Oh, and one more thing. If anyone asks, I didn't just say all that to you. Got it?
<empty>	20387	Jackie Welles
<empty>	20389	A proud son of Heywood and an even prouder son of Mama Welles. Jackie's stubborn – when he wants something, he won't stop (or shut up about it) until he gets his hands on it. Jackie always wanted a lot out of life – maybe too much.\n\nAs a teenager, he joined the Valentinos gang, but realizing how much he was capable of – he quit. For years he hustled through the unforgiving world of mercwork, because you need more than a go-getter attitude to sit at the big boys' table – you need street cred. Jackie's life goal has always been to become a legend at the Afterlife and make a heap of eddies along the way.
<empty>	21877	Talk to Jackie.
<empty>	23286	Jackie's ARCH
<empty>	23287	Jackie's Tuned ARCH
<empty>	34373	Talk to Jackie.
<empty>	34377	Talk to Jackie.
